дата	праздник
2025-12-25	Коляда (начало Больших Велесовых Святок)
2026-01-06	Большие Велесовы Святки (конец)
2026-01-02	1-я Пятница Макошь
2026-01-06	Малый Водокрес (Турицы Зимние)
2026-01-08	Бабьи каши
2026-01-13	Щедрец (Щедрый вечер)
2026-01-14	Малый Велесов День
2026-01-19	Большой Водокрес (Водосвятие)
2026-01-21	Просинец
2026-02-04	Малые Велесовы Святки (начало)
2026-02-10	Малые Велесовы Святки (конец) / Угощение Домового
2026-02-11	Великий Велесов день (Велес Зимний)
2026-02-15	Громница (Сретение)
2026-02-16	Починки (Именины Кикиморы)
2026-02-21	Весновей (Стрибог Зимний)
2026-03-01	Ярилин день (Навий день)
2026-03-03	Овсянки
2026-03-14	Овсень малый (Славянский Новый год)
2026-03-22	Сороки (Жаворонки)
2026-03-25	Открытие Сварги (Закликание весны)
2026-03-30	Ладодение
2026-04-03	Водопол (Именины Водяного)
2026-04-12	Велик день (Великдень)
2026-04-14	День Семаргла (Огнебога)
2026-04-19	Красная горка (Лельник)
2026-04-21	Радоница (Радуница)
2026-04-23	Ярило Вешний (Ярилин день)
2026-05-01	Живин день (День богини Живы)
2026-05-07	Пролетье (День Майи Златовласки)
2026-05-21	Вешнее Макошье (День Земли)
2026-05-22	Велес Вешний
2026-05-25	Кумление кукушки
2026-06-01	Духов день (Начало Русальной недели)
2026-06-04	Ярило Мокрый (Троян)
2026-06-21	День летнего солнцестояния / Купала
2026-07-01	Ярилин день (Макушка лета)
2026-07-14	Летнее Сварожье (День Сварога)
2026-07-21	Зажинки
2026-07-27	Чуров день (День Предков)
2026-08-02	Перунова Стреча (Перунов день)
2026-08-14	Медовый Спас (Маковей)
2026-08-19	Яблочный Спас
2026-08-28	Обжинки (Спожинки)
2026-08-29	Ореховый Спас (Хлебный Спас)
2026-09-07	Тит Листопадник (Луков день)
2026-09-11	Спожинки
2026-09-14	Новолетие (Славянский Новый год)
2026-09-18	Кумоха Осенняя
2026-09-21	Осенины (День Рода и Рожаниц)
2026-09-23	День осеннего равноденствия (День Сварога)
2026-10-07	Таусень (Овсень)
2026-10-14	Покров (Засыпание Домового)
2026-10-17	Проводы Лешего
2026-10-25	День Макоши
2026-10-31	Велесова ночь (начало)
2026-11-01	Велесова ночь (окончание)
2026-11-08	Мыха (День покровителя воинов)
2026-11-10	Льняница-Кудельница
2026-11-14	Сварожки (День Сварога) / Осеннее Сварожье (начало)
2026-11-15	День Овинника (Житницы)
2026-11-21	День Морены-зимы / Осеннее Сварожье (конец)
2026-11-24	Праздник Богини Судьбы (Доля)
2026-11-30	Калита
2026-12-04	Леденье
2026-12-06	День Мороза (Духа Зимы)
2026-12-19	Зимняя братчина
2026-12-20	Ночь Чернобога
2026-12-21	Карачун (Корочун)
2026-12-25	Коляда (Спиридон-Солнцеворот) / Начало Больших Велесовых Святок
2026-12-28	Осмеяние
2027-01-06	Большие Велесовы Святки (конец)
